klass,band,ratio_agg,via_workload,mapping_caveat,pre_sweet_cap_w,pre_tok_per_j_sweet,pre_tok_s_250w,dec_sweet_cap_w,dec_tok_per_j_sweet,dec_tok_s_250w,dec_sat_cap_w,pre_fit_R2,dec_fit_R2
Generation 创作生成,decode-heavy,0.09,longform-phi3,,162,39.918,9280.7,113,0.782,108.6,220,0.964,0.877
General QA 常识问答,decode-heavy,0.12,longform-phi3,,162,39.918,9280.7,113,0.782,108.6,220,0.964,0.877
Brainstorming 头脑风暴,decode-heavy,0.15,longform-phi3,,162,39.918,9280.7,113,0.782,108.6,220,0.964,0.877
Open QA 开放问答,decode-heavy,0.16,longform-phi3,,162,39.918,9280.7,113,0.782,108.6,220,0.964,0.877
Classification 分类,balanced,0.84,translate-qwen3b,,156,41.998,9127.7,115,3.968,558.8,222,0.967,0.822
Summarization 摘要,prefill-heavy,2.3,summarize-qwen7b,Dolly short-doc 2.3:1 on 32k production-scale curves,140,10.919,2148.1,108,0.056,6.4,137,0.972,0.452
Extract 信息抽取,prefill-heavy,3.06,classify-qwen7b,"Dolly 3.1:1 on production-scale curves (class shape 100:1); near-flat decode, fit R2<0 - read the dots",160,15.019,3039.0,100,1.559,148.7,174,0.976,-0.104
Chat 多轮对话,prefill-heavy,4.93,chat-phi3,trace accounting (full history re-prefilled per turn); serving shape with KV reuse ~1:2,195,39.043,9397.7,121,5.517,825.5,236,0.934,0.857
Closed QA 闭卷问答,prefill-heavy,6.18,rag-phi3,Dolly 6.2:1 on ~4k RAG-scale curves (class shape 10:1),124,29.283,5677.2,120,1.923,277.4,226,0.986,0.826
Code 代码补全,prefill-heavy,73.45,code-phi3,2023 completion-trace 73.5:1; the rack doc plans with a conservative 10:1,135,34.798,7008.8,118,0.882,127.9,226,0.989,0.702
