klass,band,ratio_agg,via_workload,mapping_caveat,opt_tok_s,tdp_tok_s,gain_pct,opt_N_prefill,opt_N_decode,opt_cap_prefill_w,opt_cap_decode_w,opt_w_used,tdp_N_prefill,tdp_N_decode,opt_rack_tok_per_j,tdp_rack_tok_per_j,opt_pct_of_cont_bound,constraint_binds
Generation 创作生成,decode-heavy,0.09,longform-phi3,,3456.0,2248.4,53.7,1,31,100,158,5000,1,19,0.691,0.45,81.4,N_max=32+Np=1
General QA 常识问答,decode-heavy,0.12,longform-phi3,,3551.2,2310.3,53.7,1,31,100,158,5000,1,19,0.71,0.462,81.4,N_max=32+Np=1
Brainstorming 头脑风暴,decode-heavy,0.15,longform-phi3,,3646.3,2372.2,53.7,1,31,100,158,5000,1,19,0.729,0.474,81.4,N_max=32+Np=1
Open QA 开放问答,decode-heavy,0.16,longform-phi3,,3678.0,2392.8,53.7,1,31,100,158,5000,1,19,0.736,0.479,81.5,N_max=32+Np=1
Classification 分类,balanced,0.84,translate-qwen3b,,28964.4,19535.6,48.3,2,30,159,156,5000,1,19,5.793,3.907,86.0,N_max=32
Summarization 摘要,prefill-heavy,2.3,summarize-qwen7b,Dolly short-doc 2.3:1 on 32k production-scale curves,651.4,401.3,62.3,1,31,100,137,4350,1,19,0.15,0.08,71.0,N_max=32
Extract 信息抽取,prefill-heavy,3.06,classify-qwen7b,"Dolly 3.1:1 on production-scale curves (class shape 100:1); near-flat decode, fit R2<0 - read the dots",16140.1,10265.6,57.2,5,27,166,155,5000,3,17,3.228,2.053,74.0,N_max=32
Chat 多轮对话,prefill-heavy,4.93,chat-phi3,trace accounting (full history re-prefilled per turn); serving shape with KV reuse ~1:2; NB the repo's canonical chat-class shape 1:2 yields 2+30 @150/157 W (workloads_results.csv),94532.6,67823.6,39.4,9,23,228,128,5000,6,14,18.907,13.565,98.3,N_max=32
Closed QA 闭卷问答,prefill-heavy,6.18,rag-phi3,Dolly 6.2:1 on ~4k RAG-scale curves (class shape 10:1),44408.5,29872.4,48.7,7,25,230,136,5000,5,15,8.882,5.974,91.8,N_max=32
Code 代码补全,prefill-heavy,73.45,code-phi3,2023 completion-trace 73.5:1; the rack doc plans with a conservative 10:1,109443.1,78146.3,40.0,19,13,172,133,5000,11,9,21.889,15.629,95.5,N_max=32
