id,class,class_zh,model_id,decode_ctx,decode_batch,dec_plateau_tok_s,pre_sweet_cap_w,pre_sweet_tok_per_j,dec_sweet_cap_w,dec_sweet_tok_per_j,dec_sat_cap_w,opt_tok_s,opt_N_prefill,opt_N_decode,opt_cap_prefill_w,opt_cap_decode_w,opt_w_used,opt_rack_tok_per_j,opt_pct_of_bound,tdp_tok_s,tdp_N_prefill,tdp_N_decode,tdp_rack_tok_per_j,gain_opt_vs_tdp_pct,constraint_binds,pre_fit_R2,dec_fit_R2
longform-phi3,long-gen,长生成 / 推理,microsoft/Phi-3-mini-4k-instruct,4096,8,108.6,162,39.92,113,0.782,220,3487.7,1,31,100,158,5000,0.698,81.2,2269.0,1,19,0.454,53.7,N_max=32+Np=1,0.964,0.877
qwen3think-4b,long-gen,长生成 / 推理,Qwen/Qwen3-4B-Instruct-2507,8192,8,16.0,120,15.4,116,0.127,182,539.1,1,31,100,158,5000,0.108,77.1,334.4,1,19,0.067,61.2,N_max=32+Np=1,0.975,-0.893
chat-phi3,chat,对话,microsoft/Phi-3-mini-4k-instruct,256,64,825.5,195,39.04,121,5.517,236,34118.8,2,30,150,157,5000,6.824,88.3,23525.8,1,19,4.705,45.0,N_max=32,0.934,0.857
fastchat-qwen15b,chat,对话,Qwen/Qwen2.5-1.5B-Instruct,512,64,900.3,160,80.95,113,6.686,221,39890.0,1,31,165,156,5000,7.978,82.8,25657.6,1,19,5.132,55.5,N_max=32+Np=1,0.957,0.822
qwen3chat-4b,chat,对话,Qwen/Qwen3-4B-Instruct-2507,1024,32,129.2,180,26.43,113,1.048,179,5945.4,1,31,106,158,5000,1.189,77.1,3682.2,1,19,0.736,61.5,N_max=32+Np=1,0.874,-0.198
translate-qwen3b,balanced,翻译 / 对称,Qwen/Qwen2.5-3B-Instruct,512,64,558.8,156,42.0,115,3.968,222,31353.4,2,30,197,154,5000,6.271,86.5,20116.8,2,18,4.023,55.9,N_max=32,0.967,0.822
rag-phi3,prompt-heavy,RAG / 代码,microsoft/Phi-3-mini-4k-instruct,1024,32,277.4,124,29.28,120,1.923,226,58418.4,11,21,182,143,5000,11.684,91.5,39663.4,7,13,7.933,47.3,N_max=32,0.986,0.826
code-phi3,prompt-heavy,RAG / 代码,microsoft/Phi-3-mini-4k-instruct,2048,16,127.9,135,34.8,118,0.882,226,34883.5,5,27,206,147,5000,6.977,90.1,23129.0,3,17,4.626,50.8,N_max=32,0.989,0.702
summarize-qwen7b,summarize-batch,批量摘要,Qwen/Qwen2.5-7B-Instruct,32768,4,6.4,140,10.92,107,0.056,137,5724.9,3,29,184,137,4528,1.264,75.6,3571.2,2,18,0.714,60.3,N_max=32,0.972,0.452
classify-qwen7b,classify-batch,分类 / 抽取,Qwen/Qwen2.5-7B-Instruct,256,8,148.7,160,15.02,100,1.559,174,66658.8,27,5,167,100,5000,13.332,96.4,49110.5,16,4,9.822,35.7,N_max=32,0.976,-0.104
