klass,band,ratio_agg,via_workload,mapping_caveat,pre_sweet_cap_w,pre_tok_per_j_sweet,pre_tok_s_caphi,dec_sweet_cap_w,dec_tok_per_j_sweet,dec_tok_s_caphi,dec_sat_cap_w,pre_fit_R2,dec_fit_R2
Generation 创作生成,decode-heavy,0.09,longform-phi3,,154,40.407,8847.3,114,0.772,107.8,179,0.985,0.926
General QA 常识问答,decode-heavy,0.12,longform-phi3,,154,40.407,8847.3,114,0.772,107.8,179,0.985,0.926
Brainstorming 头脑风暴,decode-heavy,0.15,longform-phi3,,154,40.407,8847.3,114,0.772,107.8,179,0.985,0.926
Open QA 开放问答,decode-heavy,0.16,longform-phi3,,154,40.407,8847.3,114,0.772,107.8,179,0.985,0.926
Classification 分类,balanced,0.84,translate-qwen3b,,155,41.832,9041.0,115,3.873,555.4,174,0.97,0.922
Summarization 摘要,prefill-heavy,2.3,summarize-qwen7b,Dolly short-doc 2.3:1 on 32k production-scale curves,140,10.768,2166.3,111,0.056,6.4,116,0.954,0.906
Extract 信息抽取,prefill-heavy,3.06,classify-qwen7b,"Dolly 3.1:1 on production-scale curves (class shape 100:1); near-flat decode, fit R2<0 - read the dots",160,14.888,3088.7,100,1.411,139.7,121,0.949,0.323
Chat 多轮对话,prefill-heavy,4.93,chat-phi3,trace accounting (full history re-prefilled per turn); serving shape with KV reuse ~1:2,156,39.185,8676.7,118,5.325,834.2,208,0.971,0.961
Closed QA 闭卷问答,prefill-heavy,6.18,rag-phi3,Dolly 6.2:1 on ~4k RAG-scale curves (class shape 10:1),128,28.581,5765.5,120,1.847,275.3,163,0.974,0.95
Code 代码补全,prefill-heavy,73.45,code-phi3,2023 completion-trace 73.5:1; the rack doc plans with a conservative 10:1,137,34.567,7041.8,122,0.887,129.1,229,0.986,0.854
